Stop Name,Suburb,Postcode,Stop Latitude,Stop Longitude
BURNIE ST BEFORE LAUNCESTON,LYONS,2606,-35.346191,149.074615
IKEA MAJURA RD AFTER SPITFIRE AV,PIALLIGO,2609,-35.296085,149.187698
CARRUTHERS ST BEFORE GROOM ST,HUGHES,2605,-35.326916,149.090012
LEARMONTH DR AFTER ATHLLON DR,TUGGERANONG,2900,-35.403179,149.063354
MARSHALL ST AFTER SPAFFORD CR,FARRER,2607,-35.373634,149.101715
ATHLLON DR AFTER BEASLEY ST,TORRENS,2607,-35.371284,149.092667
MAWSON DR AFTER HURLEY ST,MAWSON,2607,-35.363194,149.096451
EYRE ST KINGSTON SHOPS,KINGSTON,2604,-35.316624,149.141815
COWPER ST DARAMALAN COLLEGE,DICKSON,2602,-35.252644,149.139359
PARLIAMENT DR NEW PARLIAMENT HOUSE,CAPITAL HILL,2600,-35.309078,149.126083
DALRYMPLE ST AFTER HINDMARSH DR,RED HILL,2603,-35.342953,149.138489
KNOX ST 2ND AFTER DICKINSON ST,WATSON,2602,-35.23798,149.153641
FAIRBAIRN AV AFTER CRESWELL ST,CAMPBELL,2612,-35.282707,149.148727
MCCAUGHEY ST AFTER BARRY DR,TURNER,2612,-35.272812,149.12236
WATTLE ST AFTER CORREA ST,O'CONNOR,2602,-35.249699,149.121429
KINGSFORD SMITH DR AFTER COMPANION CR,FLYNN,2615,-35.213284,149.046417
REDFERN ST 2ND BEFORE LYTTLETON CR,COOK,2614,-35.256199,149.066132
BENNELONG CR AFTER GOULBURN ST,MACQUARIE,2614,-35.253647,149.063065
COWPER ST 2ND AFTER BONNEY ST,AINSLIE,2602,-35.262012,149.141815
BANDJALONG CR ARANDA PRIMARY,ARANDA,2614,-35.256203,149.079651
EUREE ST AFTER ELIMATTA ST,REID,2612,-35.282013,149.142563
MADIGAN ST AFTER HADDON ST,HACKETT,2602,-35.247097,149.162964
RUSSELL DR BEFORE KINGS AV CARPARK,RUSSELL,2600,-35.298779,149.150864
LHOTSKY ST AFTER CARTWRIGHT ST,CHARNWOOD,2615,-35.203167,149.027878
